sourate,verset,jummal,lettres
6,94,11442,128
6,95,4933,69
6,96,3391,62
6,97,5056,69
6,98,4165,59
6,99,17873,187
6,100,5429,68
6,101,4199,65
6,102,3042,53
6,103,2581,43
6,104,3273,59
6,105,3027,44
6,106,2870,44
6,107,3075,53
6,108,6170,103
6,109,4090,90
6,110,3993,60
6,111,4046,100
6,112,8706,95
6,113,6357,62
6,114,8579,105
6,115,2906,48
6,116,6315,63
6,117,2282,39
6,118,2596,40
6,119,8706,116
6,120,5329,59
6,121,4441,96
6,122,6597,100
6,123,3637,69
6,124,9579,118
6,125,7131,110
6,126,3845,41
6,127,1248,41
6,128,12083,151
6,129,3948,38
6,130,8574,134
6,131,3796,38
6,132,2621,37
6,133,7698,71
6,134,1779,27
6,135,4428,75
6,136,7225,128
6,137,6697,96
6,138,7946,117
6,139,5425,95
6,140,7031,83
6,141,14991,145
6,142,4197,70
6,143,8460,106
6,144,15258,167
6,145,10240,128
6,146,11709,122
6,147,3442,51
6,148,13139,142
6,149,2083,36
6,150,9442,118
6,151,11709,180
6,152,10164,149
6,153,6576,75
6,154,5034,75
6,155,3514,44
6,156,4330,61
6,157,8304,144
6,158,13571,138
6,159,4338,77
6,160,3600,64
6,161,3072,66
6,162,1929,39
6,163,2351,32
6,164,9639,104
6,165,8812,86
7,1,947,23
7,2,4052,50
7,3,3770,57
7,4,1452,43
7,5,2558,46
7,6,2117,36
7,7,1888,27
7,8,2761,45
7,9,4958,56
7,10,3388,48
7,11,3653,73
7,12,6132,57
7,13,4177,50
7,14,2077,21
7,15,1573,16
7,16,3062,36
7,17,4765,66
7,18,3399,54
7,19,5963,70
7,20,5790,105
7,21,765,26
7,22,8371,130
7,23,5489,54
7,24,4713,48
7,25,3066,34
7,26,6581,83
7,27,7084,138
7,28,4424,94
7,29,3016,69
7,30,5190,78
7,31,4174,64
7,32,6968,111
7,33,8298,110
7,34,3233,47
7,35,3960,74
7,36,4096,58
7,37,11256,157
7,38,14547,161
7,39,5728,62
7,40,7449,104
7,41,3855,42
7,42,3275,70
7,43,10550,150
7,44,5935,110
7,45,3646,48
7,46,3059,87
7,47,5058,62
7,48,4698,72
7,49,4631,68
7,50,3491,87
7,51,6722,95
7,52,1796,45
7,53,12319,146
7,54,13273,145
7,55,3228,35
7,56,4243,65
7,57,11866,123
7,58,7551,72
7,59,5485,76
7,60,1880,32
7,61,2202,39
7,62,3213,44
7,63,5296,59
7,64,6010,71
7,65,3763,57
7,66,4178,58
7,67,1487,39
7,68,2395,30
7,69,9215,113
7,70,4060,71
7,71,8963,107
7,72,4207,66
7,73,10833,132
7,74,11591,113
7,75,6667,96
7,76,3302,37
7,77,4081,66
7,78,3277,33
7,79,4607,63
7,80,3044,53
7,81,2977,46
7,82,3105,54
7,83,2781,36
7,84,2676,40
7,85,10464,156
7,86,9062,107
7,87,4258,83
7,88,6886,93
7,89,9472,159
7,90,4724,53
7,91,3277,33
7,92,6185,59
7,93,5038,64
7,94,4820,59
7,95,6921,82
7,96,6271,85
7,97,1802,40
7,98,2143,38
7,99,2200,44
7,100,5177,79
7,101,5645,102
7,102,2294,41
7,103,5423,71
7,104,1551,34
7,105,2757,65
7,106,2469,36
7,107,1909,24
7,108,3034,26
7,109,2081,32
7,110,3818,30
7,111,2052,34
7,112,908,16
7,113,2580,46
7,114,961,22
7,115,1492,40
7,116,3139,55
7,117,2217,41
7,118,767,25
7,119,2772,25
7,120,579,17
7,121,666,20
7,122,586,12
7,123,6287,77
7,124,2423,41
7,125,762,22
7,126,4858,66
7,127,7389,100
7,128,4719,76
7,129,7821,88
7,130,4801,47
7,131,5247,94
7,132,2429,47
7,133,4676,80
7,134,4016,90
7,135,3555,43
7,136,5178,60
7,137,11525,139
7,138,3584,99
7,139,1290,36
7,140,3847,40
7,141,6237,85
7,142,7821,109
7,143,11077,165
7,144,5024,65
7,145,7386,89
7,146,14847,153
7,147,4040,63
7,148,6898,89
7,149,5142,74
7,150,13954,172
7,151,4797,46
7,152,7658,69
7,153,4701,59
7,154,6909,63
7,155,16808,170
7,156,9579,129
7,157,14854,222
7,158,7695,141
7,159,803,32
7,160,14918,200
7,161,7356,93
7,162,6490,73
7,163,10243,118
7,164,7428,81
7,165,6898,79
7,166,2355,41
7,167,6786,80
7,168,4511,77
7,169,18921,172
7,170,3227,52
7,171,8058,79
7,172,9987,104
7,173,3627,64
7,174,1989,27
